Player,Inns,Runs,Avg,Strikerate,4s,6s,Cluster,Grade
Alex Hales,15.0,537.0,38.36,159.82,54,30,0,A
James Vince,16.0,536.0,38.29,143.32,59,11,0,A
Josh Phillippe,16.0,504.0,31.5,148.24,55,14,0,A
Chris Lynn,13.0,456.0,35.08,154.05,39,26,0,A
Colin Munro,15.0,443.0,31.64,128.03,32,19,0,A
Jake Weatherald,15.0,433.0,36.08,141.04,37,22,0,A
Liam Livingstone,14.0,426.0,30.43,133.96,26,26,0,A
Alex Carey,13.0,425.0,32.69,122.13,43,10,0,A
Josh Inglis,16.0,413.0,79.0,162.6,40,9,0,A
Callum Ferguson,15.0,405.0,31.15,123.85,39,6,0,A
Ben McDermott,12.0,402.0,36.55,139.58,28,21,0,A
Marcus Stoinis,13.0,396.0,33.0,141.94,40,17,0,A
Jordan Silk,14.0,382.0,38.2,146.36,41,5,0,A
Glenn Maxwell,13.0,379.0,31.58,142.48,32,17,0,A
Jason Roy,12.0,355.0,32.27,134.98,43,7,0,A
Sam Harper,14.0,351.0,27.0,124.03,26,10,0,A
Usman Khawaja,15.0,338.0,22.53,127.55,45,3,0,A
Jimmy Peirson,16.0,334.0,47.71,130.47,19,7,0,A
Daniel Hughes,16.0,331.0,25.46,130.31,24,11,0,A
Mitchell Marsh,14.0,315.0,39.38,147.89,27,13,0,A
Shaun Marsh,12.0,312.0,26.0,126.83,23,10,0,A
Philip Salt,15.0,310.0,20.67,130.25,29,9,0,A
Max Bryant,14.0,302.0,21.57,127.43,34,8,0,A
Ben Cutting,13.0,280.0,40.0,156.42,26,16,0,A
Tim David,14.0,277.0,30.78,152.2,19,14,0,A
Nick Larkin,10.0,276.0,39.43,126.61,32,5,0,A
Daniel Christian,14.0,272.0,34.0,182.55,21,18,0,A
Dawid Malan,10.0,265.0,26.5,112.29,23,6,0,A
Jonathan Wells,13.0,263.0,26.3,106.48,23,2,0,A
Colin Ingram,10.0,258.0,25.8,127.09,25,9,0,A
Sam Billings,9.0,254.0,31.75,141.9,20,9,0,A
D Arcy Short,14.0,246.0,17.57,85.71,39,8,0,A
Hilton Cartwright,13.0,239.0,29.88,143.98,11,15,0,A
Ashton Turner,13.0,228.0,22.8,152.0,19,10,0,A
Joe Denly,12.0,223.0,18.58,107.21,17,5,0,A
Peter Handscomb,13.0,208.0,18.91,124.55,19,5,0,A
Matt Renshaw,14.0,207.0,15.92,107.25,15,5,0,A
Andre Fletcher,12.0,206.0,20.6,131.21,22,9,0,A
Daniel Sams,8.0,200.0,40.0,188.68,11,14,0,A
Mackenzie Harvey,9.0,198.0,28.29,135.62,16,9,0,A
Sam Heazlett,9.0,180.0,22.5,135.34,14,9,1,B
Joe Burns,11.0,180.0,22.5,125.0,18,5,1,B
Aaron Finch,13.0,179.0,13.77,113.29,20,3,1,B
Marnus Labuschagne,6.0,176.0,29.33,123.08,13,3,1,B
Lewis Gregory,12.0,173.0,19.22,133.08,13,8,1,B
Jack Edwards,9.0,164.0,18.22,107.89,19,1,1,B
Beau Webster,10.0,160.0,22.86,125.0,13,4,1,B
Cameron Bancroft,7.0,156.0,39.0,130.0,12,2,1,B
Moises Henriques,4.0,155.0,38.75,155.0,13,5,1,B
Mohammad Nabi,7.0,149.0,24.83,126.27,12,7,1,B
Nic Maddinson,6.0,134.0,33.5,124.07,7,8,1,B
Jake Fraser-McGurk,10.0,127.0,18.14,106.72,7,4,1,B
Nicholas Pooran,5.0,127.0,25.4,169.33,6,13,1,B
Aaron Hardie,9.0,123.0,17.57,123.0,6,5,1,B
Alex Ross,6.0,108.0,21.6,122.73,8,4,1,B
Matthew Wade,3.0,105.0,35.0,187.5,12,4,1,B
Rilee Rossouw,7.0,105.0,17.5,136.36,13,1,1,B
Ryan Gibson,9.0,100.0,20.0,138.89,10,3,1,B
Jhye Richardson,11.0,96.0,19.2,139.13,9,3,1,B
James Bazley,7.0,94.0,23.5,144.62,7,5,1,B
Oliver Davies,6.0,90.0,15.0,155.17,2,8,1,B
Jack Prestwidge,6.0,86.0,14.33,113.16,5,6,1,B
Will Jacks,8.0,79.0,9.88,114.49,3,5,1,B
Jack Wildermuth,9.0,75.0,8.33,147.06,1,6,1,B
Daniel Worrall,5.0,72.0,24.0,138.46,7,3,1,B
Nathan McAndrew,7.0,72.0,36.0,205.71,7,4,1,B
Travis Head,4.0,70.0,17.5,112.9,4,1,1,B
Ben Dunk,5.0,69.0,13.8,109.52,2,4,1,B
Jason Holder,3.0,62.0,62.0,182.35,7,4,1,B
Rashid Khan,7.0,61.0,12.2,135.56,4,3,1,B
Tom Cooper,5.0,61.0,12.2,92.42,4,2,1,B
Nathan Ellis,10.0,61.0,8.71,132.61,3,3,1,B
Imad wasim,8.0,56.0,11.2,109.8,4,0,1,B
Carlos Brathwaite,11.0,55.0,6.88,107.84,5,2,1,B
Seb Gotch,6.0,51.0,12.75,94.44,5,1,1,B
Danny Briggs,7.0,45.0,11.25,121.62,6,2,1,B
James Faulkner,4.0,44.0,22.0,129.41,3,1,1,B
Joe Clarke,3.0,44.0,14.67,183.33,2,4,1,B
Ben Dwarshuis,5.0,42.0,21.0,131.25,3,1,1,B
Daniel Lawrence,4.0,41.0,10.25,100.0,4,1,1,B
Chris Green,7.0,41.0,6.83,120.59,4,1,1,B
Matthew Short,5.0,37.0,7.4,100.0,3,0,1,B
Andrew Tye,5.0,37.0,12.33,127.59,3,2,1,B
Harry Nielsen,2.0,36.0,18.0,116.13,4,1,1,B
Macalister Wright,4.0,29.0,7.25,85.29,1,0,1,B
Kane Richardson,5.0,28.0,7.0,147.37,3,1,1,B
Adam Zampa,3.0,27.0,9.0,96.43,2,1,1,B
Mark Steketee,7.0,25.0,5.0,83.33,2,0,1,B
Xavier Bartlett,5.0,25.0,8.33,125.0,1,1,1,B
Justin Avendano,2.0,25.0,12.5,108.7,3,1,1,B
Baxter Holt,3.0,24.0,8.0,85.71,3,0,1,B
Mujeeb Ur Rahman,2.0,21.0,10.5,161.54,2,1,1,B
Sam Rainbird,3.0,21.0,21.0,150.0,2,0,1,B
Steve OKeefe,4.0,18.0,9.0,81.82,2,0,1,B
Will Sutherland,4.0,17.0,8.5,94.44,2,0,1,B
Liam hatcher,3.0,16.0,8.0,88.89,1,1,1,B
Mitchell Swepson,2.0,15.0,15.0,115.38,2,0,1,B
Scott Boland,7.0,15.0,7.5,71.43,2,0,1,B
Arjun Nair,1.0,15.0,15.0,115.38,1,0,1,B
Brendan Doggett,2.0,15.0,15.0,125.0,3,0,1,B
Clint Hinchliffe,2.0,14.0,14.0,140.0,1,0,1,B
