Player,Runs,Strikerate,4s,6s,Cluster,Grade
Ruturaj Gaikwad,839.0,132.1259842519685,80.0,29.0,0,A
Faf du Plessis,1640.0,133.65933170334148,155.0,58.0,0,A
Robin Uthappa,944.0,124.53825857519789,85.0,43.0,0,A
Moeen Ali,666.0,146.37362637362637,52.0,42.0,1,B
Shubman Gill,1417.0,123.00347222222224,137.0,36.0,0,A
Venkatesh Iyer,370.0,128.47222222222223,37.0,14.0,1,B
Nitish Rana,1383.0,133.6231884057971,130.0,64.0,0,A
Sunil Narine,683.0,168.2266009852217,70.0,45.0,1,B
Eoin Morgan,551.0,124.94331065759636,40.0,30.0,1,B
Dinesh Karthik,1143.0,140.4176904176904,113.0,41.0,0,A
Shakib Al Hasan,295.0,115.68627450980392,29.0,6.0,1,B
Rahul Tripathi,994.0,132.71028037383178,93.0,31.0,0,A
Lockie Ferguson,61.0,152.5,5.0,2.0,1,B
Shivam Mavi,48.0,97.95918367346938,4.0,2.0,1,B
Varun Chakravarthy,12.0,63.1578947368421,0.0,0.0,1,B
Prithvi Shaw,1305.0,146.30044843049328,155.0,45.0,0,A
Shikhar Dhawan,2223.0,135.13677811550153,253.0,53.0,0,A
Marcus Stoinis,751.0,138.81700554528652,62.0,31.0,0,A
Shreyas Iyer,1568.0,121.7391304347826,117.0,56.0,0,A
Rishabh Pant,1934.0,146.40423921271764,178.0,83.0,0,A
Shimron Hetmyer,517.0,151.16959064327486,34.0,31.0,1,B
Axar Patel,347.0,120.48611111111111,21.0,16.0,1,B
Devdutt Padikkal,884.0,125.03536067892504,95.0,22.0,0,A
Virat Kohli,1865.0,130.23743016759778,164.0,51.0,0,A
Srikar Bharat,191.0,122.43589743589745,10.0,8.0,1,B
Glenn Maxwell,790.0,135.73883161512026,71.0,30.0,0,A
AB de Villiers,1689.0,159.4900849858357,126.0,95.0,0,A
Shahbaz Ahmed,60.0,111.11111111111111,4.0,2.0,1,B
Dan Christian,14.0,58.333333333333336,1.0,0.0,1,B
Harshal Patel,140.0,133.33333333333334,9.0,8.0,1,B
George Garton,2.0,50.0,0.0,0.0,1,B
Tom Curran,127.0,118.69158878504672,10.0,3.0,1,B
Shardul Thakur,46.0,121.05263157894736,4.0,1.0,1,B
Ambati Rayudu,1500.0,129.6456352636128,119.0,70.0,0,A
MS Dhoni,1185.0,133.14606741573033,74.0,63.0,0,A
Ravindra Jadeja,654.0,144.3708609271523,51.0,28.0,1,B
Ripal Patel,25.0,92.5925925925926,3.0,0.0,1,B
Rohit Sharma,1404.0,128.92561983471074,137.0,55.0,0,A
Ishan Kishan,1133.0,138.5085574572127,87.0,61.0,0,A
Hardik Pandya,1070.0,158.75370919881306,73.0,70.0,0,A
Kieron Pollard,925.0,158.66209262435677,55.0,67.0,0,A
Suryakumar Yadav,1733.0,137.53968253968253,207.0,47.0,0,A
James Neesham,19.0,95.0,0.0,1.0,1,B
Krunal Pandya,663.0,127.01149425287356,59.0,26.0,1,B
Nathan Coulter-Nile,29.0,145.0,4.0,0.0,1,B
Piyush Chawla,69.0,94.52054794520548,5.0,3.0,1,B
Trent Boult,8.0,72.72727272727273,0.0,1.0,1,B
Jason Roy,270.0,125.5813953488372,30.0,8.0,1,B
Abhishek Sharma,241.0,139.3063583815029,17.0,12.0,1,B
Manish Pandey,1345.0,124.76808905380334,112.0,39.0,0,A
Mohammad Nabi,178.0,153.44827586206895,16.0,9.0,1,B
