Player,Runs,Avg,Strikerate,Wickets,Best_Bowilng,Economy,4w,6w,Cluster,Grade
A Dutt,426,42.6,46.5,10,3/44,5.5,0,0,1,A
A Zampa,515,22.39,25.04,23,4/8,5.36,3,0,1,A
AAP Atkinson,146,36.5,36.0,4,2/45,6.08,0,0,0,B
AD Mathews,107,17.83,22.17,6,2/14,4.83,0,0,0,B
Agha Salman,46,0.0,0.0,0,0/21,9.2,0,0,0,B
AK Markram,85,85.0,111.0,1,1/23,4.59,0,0,0,B
AL Phehlukwayo,36,36.0,42.0,1,1/36,5.14,0,0,0,B
AU Rashid,413,27.53,31.87,15,3/42,5.18,0,0,1,A
Azmatullah Omarzai,270,38.57,32.57,7,2/52,7.11,0,0,0,B
BFW de Leede,487,30.44,25.12,16,4/62,7.27,1,0,1,A
C Green,11,0.0,0.0,0,0/11,5.5,0,0,0,B
C Karunaratne,73,0.0,0.0,0,0/15,6.08,0,0,0,B
CAK Rajitha,336,42.0,36.75,8,4/50,6.86,1,0,1,A
CBRLS Kumara,82,27.33,22.0,3,3/35,7.45,0,0,0,B
CN Ackermann,234,46.8,56.8,5,2/39,4.94,0,0,0,B
CR Woakes,298,29.8,33.0,10,4/54,5.42,1,0,1,A
D Madushanka,525,25.0,22.38,21,5/80,6.7,1,1,1,A
DJ Mitchell,12,0.0,0.0,0,0/1,8.0,0,0,0,B
DJ Willey,259,23.55,27.82,11,3/45,5.08,0,0,0,B
DM de Silva,174,0.0,0.0,0,0/10,6.96,0,0,0,B
DN Wellalage,196,98.0,88.0,2,1/53,6.68,0,0,0,B
Fazalhaq Farooqi,228,38.0,40.0,6,4/34,5.7,1,0,0,B
G Coetzee,396,19.8,19.05,20,4/44,6.24,1,0,1,A
GD Phillips,233,38.83,40.0,6,3/37,5.82,0,0,0,B
GJ Maxwell,330,55.0,68.5,6,2/34,4.82,0,0,1,A
Haris Rauf,533,33.31,29.62,16,3/43,6.75,0,0,1,A
Hasan Ali,321,35.67,34.0,9,4/71,6.29,1,0,1,A
Hasan Mahmud,132,44.0,28.0,3,2/67,9.43,0,0,0,B
HH Pandya,113,22.6,19.8,5,2/34,6.85,0,0,0,B
Iftikhar Ahmed,262,65.5,72.0,4,1/16,5.46,0,0,0,B
IS Sodhi,44,0.0,0.0,0,0/44,11.0,0,0,0,B
JDS Neesham,157,78.5,43.5,2,1/32,10.83,0,0,0,B
JE Root,67,67.0,61.0,1,1/19,6.59,0,0,0,B
JJ Bumrah,373,18.65,27.55,20,4/39,4.06,1,0,1,A
JR Hazlewood,449,29.93,37.2,15,3/38,4.83,0,0,1,A
K Rabada,364,28.0,33.62,13,3/33,5.0,0,0,1,A
KA Maharaj,370,24.67,35.6,15,4/46,4.16,1,0,1,A
KIC Asalanka,10,0.0,0.0,0,0/10,10.0,0,0,0,B
Kuldeep Yadav,423,28.2,38.07,15,2/7,4.44,0,0,1,A
L Ngidi,355,35.5,36.3,10,2/26,5.87,0,0,1,A
